id,label
TEST_00000,Asian Green Bee-Eater
TEST_00001,Asian Green Bee-Eater
TEST_00002,Jungle Babbler
TEST_00003,Sarus Crane
TEST_00004,Northern Lapwing
TEST_00005,Indian Grey Hornbill
TEST_00006,Indian Grey Hornbill
TEST_00007,Cattle Egret
TEST_00008,Coppersmith Barbet
TEST_00009,Cattle Egret
TEST_00010,Northern Lapwing
TEST_00011,Indian Grey Hornbill
TEST_00012,Indian Roller
TEST_00013,Ruddy Shelduck
TEST_00014,Common Myna
TEST_00015,Sarus Crane
TEST_00016,House Crow
TEST_00017,Ruddy Shelduck
TEST_00018,Sarus Crane
TEST_00019,Indian Grey Hornbill
TEST_00020,House Crow
TEST_00021,White-Breasted Kingfisher
TEST_00022,White Wagtail
TEST_00023,Northern Lapwing
TEST_00024,White Wagtail
TEST_00025,Hoopoe
TEST_00026,White-Breasted Waterhen
TEST_00027,Indian Roller
TEST_00028,House Crow
TEST_00029,White Wagtail
TEST_00030,Indian Roller
TEST_00031,Common Rosefinch
TEST_00032,Indian Grey Hornbill
TEST_00033,Jungle Babbler
TEST_00034,Common Rosefinch
TEST_00035,White-Breasted Kingfisher
TEST_00036,Sarus Crane
TEST_00037,Forest Wagtail
TEST_00038,Forest Wagtail
TEST_00039,Hoopoe
TEST_00040,White-Breasted Kingfisher
TEST_00041,Indian Pitta
TEST_00042,Northern Lapwing
TEST_00043,Hoopoe
TEST_00044,Forest Wagtail
TEST_00045,White Wagtail
TEST_00046,Indian Roller
TEST_00047,Common Tailorbird
TEST_00048,Common Myna
TEST_00049,Rufous Treepie
TEST_00050,Indian Roller
TEST_00051,White Wagtail
TEST_00052,House Crow
TEST_00053,Common Kingfisher
TEST_00054,Northern Lapwing
TEST_00055,Jungle Babbler
TEST_00056,Cattle Egret
TEST_00057,Sarus Crane
TEST_00058,House Crow
TEST_00059,Jungle Babbler
TEST_00060,Indian Peacock
TEST_00061,Cattle Egret
TEST_00062,Brown-Headed Barbet
TEST_00063,White Wagtail
TEST_00064,Indian Roller
TEST_00065,Indian Peacock
TEST_00066,Ruddy Shelduck
TEST_00067,Common Tailorbird
TEST_00068,House Crow
TEST_00069,Ruddy Shelduck
TEST_00070,Brown-Headed Barbet
TEST_00071,Indian Grey Hornbill
TEST_00072,Common Kingfisher
TEST_00073,Indian Roller
TEST_00074,Red-Wattled Lapwing
TEST_00075,Rufous Treepie
TEST_00076,White-Breasted Kingfisher
TEST_00077,Ruddy Shelduck
TEST_00078,Forest Wagtail
TEST_00079,Sarus Crane
TEST_00080,Indian Pitta
TEST_00081,White Wagtail
TEST_00082,Rufous Treepie
TEST_00083,Jungle Babbler
TEST_00084,Brown-Headed Barbet
TEST_00085,Cattle Egret
TEST_00086,House Crow
TEST_00087,Sarus Crane
TEST_00088,Cattle Egret
TEST_00089,Indian Grey Hornbill
TEST_00090,Common Myna
TEST_00091,White-Breasted Kingfisher
TEST_00092,Cattle Egret
TEST_00093,Jungle Babbler
TEST_00094,Indian Grey Hornbill
